Sanders, Ivy | Final Project | not submitted | * | * | 2024-2025
Xu, Amber | Project 1 | submitted | late | B | 2024-2025
Coleman, Jasper | Quiz 1 | submitted | late | B | 2022-2023
Upton, Sawyer | Project 1 | not submitted | * | * | 2023-2024
Ramsey, Willa | Final Project | not submitted | * | * | 2022-2023
Walker, Naomi | Homework 1 | submitted | late | A | 2023-2024
Irons, Kiera | Final Project | submitted | late | D | 2023-2024
Owens, Harper | Quiz 1 | submitted | on time | A | 2024-2025
Carson, Amelia | Homework 2 | submitted | on time | C | 2023-2024
Turner, Miles | Final Project | submitted | late | D | 2024-2025
Zimmerman, Mia | Homework 1 | submitted | late | D | 2024-2025
Turner, Miles | Final Project | submitted | late | D | 2022-2023
Vasquez, Adrian | Final Project | submitted | on time | C | 2024-2025
Iverson, Paige | Final Project | submitted | on time | C | 2023-2024
Matthews, Aria | Final Project | submitted | on time | D | 2024-2025
Wright, Naomi | Homework 2 | submitted | on time | D | 2024-2025
Mason, Eliana | Final Project | submitted | on time | A | 2022-2023
Quaid, Lilliana | Homework 2 | submitted | on time | D | 2024-2025
Upton, Sawyer | Homework 1 | submitted | on time | A | 2023-2024
Reeves, Nolan | Project 1 | submitted | on time | D | 2024-2025
Zimmer, Fiona | Homework 2 | submitted | on time | A | 2023-2024
King, Sariah | Homework 1 | not submitted | * | * | 2023-2024
Zimmer, Fiona | Quiz 1 | submitted | on time | B | 2023-2024
Turner, Miles | Homework 2 | submitted | late | B | 2023-2024
Hayes, Milo | Project 1 | submitted | late | D | 2023-2024
Grant, Parker | Project 1 | submitted | late | C | 2023-2024
Underhill, Zara | Homework 1 | submitted | on time | C | 2024-2025
Ross, Elena | Final Project | submitted | late | A | 2022-2023
Ingram, Elise | Final Project | submitted | late | C | 2022-2023
Turner, Miles | Quiz 1 | submitted | on time | B | 2022-2023
Upton, Sawyer | Quiz 1 | submitted | late | A | 2024-2025
Hayes, Milo | Quiz 1 | submitted | on time | D | 2023-2024
Zara, Kade | Quiz 1 | submitted | late | C | 2022-2023
Blaine, Nadia | Final Project | submitted | on time | B | 2022-2023
Harris, Devin | Homework 2 | submitted | on time | B | 2023-2024
Ulrich, Mason | Homework 2 | submitted | late | B | 2024-2025
Quaid, Lilliana | Project 1 | submitted | on time | A | 2024-2025
Adams, Lily | Project 1 | submitted | on time | B | 2024-2025
Owens, Harper | Homework 2 | submitted | late | D | 2022-2023
Radcliffe, Serena | Homework 1 | submitted | late | D | 2022-2023
Owens, Harper | Project 1 | submitted | late | C | 2024-2025
Elliott, Bria | Homework 1 | submitted | late | A | 2023-2024
Xu, Amber | Homework 1 | submitted | late | B | 2022-2023
Ross, Elena | Final Project | not submitted | * | * | 2022-2023
Blaine, Nadia | Homework 1 | submitted | late | A | 2022-2023
Iverson, Paige | Quiz 1 | submitted | late | A | 2023-2024
Walker, Naomi | Homework 1 | submitted | late | D | 2024-2025
Carson, Amelia | Homework 2 | submitted | late | C | 2022-2023
King, Sariah | Project 1 | submitted | on time | D | 2023-2024
York, Selene | Quiz 1 | submitted | late | A | 2024-2025
Hayes, Milo | Homework 1 | submitted | on time | D | 2024-2025
Hayes, Milo | Homework 2 | submitted | on time | C | 2024-2025
Underwood, Sienna | Project 1 | submitted | late | A | 2022-2023
Grant, Parker | Homework 1 | submitted | late | A | 2022-2023
King, Sariah | Project 1 | submitted | late | A | 2022-2023
Blaine, Nadia | Homework 1 | not submitted | * | * | 2022-2023
Ulrich, Mason | Homework 1 | submitted | late | C | 2022-2023
Harris, Devin | Project 1 | submitted | late | D | 2023-2024
Ingram, Elise | Quiz 1 | submitted | on time | D | 2023-2024
Underhill, Zara | Homework 1 | submitted | on time | B | 2023-2024
Gibson, Alana | Project 1 | submitted | late | D | 2023-2024
Ingram, Elise | Project 1 | not submitted | * | * | 2022-2023
Lewis, Brandon | Quiz 1 | submitted | late | C | 2023-2024
Harris, Devin | Homework 1 | submitted | late | B | 2024-2025
Jennings, Reed | Homework 2 | submitted | late | C | 2023-2024
Zara, Kade | Homework 1 | submitted | late | A | 2024-2025
Evans, Priya | Quiz 1 | submitted | on time | A | 2023-2024
Walker, Naomi | Project 1 | submitted | on time | D | 2024-2025
Matthews, Aria | Project 1 | submitted | on time | C | 2024-2025
Warner, Colt | Homework 1 | not submitted | * | * | 2022-2023
Owens, Harper | Homework 2 | submitted | on time | A | 2024-2025
Warner, Colt | Final Project | submitted | late | D | 2024-2025
Dillon, Skylar | Homework 2 | submitted | late | B | 2024-2025
Zimmer, Fiona | Homework 2 | submitted | on time | B | 2022-2023
Radcliffe, Serena | Homework 1 | submitted | on time | A | 2022-2023
Zimmer, Fiona | Project 1 | submitted | on time | C | 2024-2025
Lewis, Brandon | Quiz 1 | submitted | late | D | 2023-2024
Adams, Lily | Project 1 | submitted | on time | D | 2024-2025
Valencia, Nora | Final Project | submitted | late | C | 2024-2025
Iverson, Paige | Homework 2 | submitted | on time | D | 2023-2024
Zimmer, Fiona | Project 1 | submitted | late | A | 2023-2024
Elliott, Bria | Homework 2 | submitted | late | A | 2024-2025
Irons, Kiera | Homework 1 | submitted | on time | C | 2024-2025
