Zimmer, Fiona | Homework 1 | not submitted | * | *
Zimmer, Fiona | Homework 2 | submitted | on time | A
Zimmer, Fiona | Project 1 | submitted | late | B
Zimmer, Fiona | Quiz 1 | submitted | on time | A
Zimmer, Fiona | Final Project | submitted | on time | A
Quaid, Lilliana | Homework 1 | submitted | on time | C
Quaid, Lilliana | Homework 2 | submitted | on time | A
Quaid, Lilliana | Project 1 | submitted | on time | A
Quaid, Lilliana | Quiz 1 | submitted | late | D
Quaid, Lilliana | Final Project | submitted | on time | D
Hayes, Milo | Homework 1 | submitted | on time | A
Hayes, Milo | Homework 2 | submitted | late | A
Hayes, Milo | Project 1 | not submitted | * | *
Hayes, Milo | Quiz 1 | submitted | on time | C
Hayes, Milo | Final Project | submitted | on time | A
Turner, Miles | Homework 1 | submitted | on time | B
Turner, Miles | Homework 2 | submitted | on time | C
Turner, Miles | Project 1 | submitted | on time | A
Turner, Miles | Quiz 1 | submitted | late | C
Turner, Miles | Final Project | submitted | late | B
King, Sariah | Homework 1 | submitted | on time | D
King, Sariah | Homework 2 | submitted | late | C
King, Sariah | Project 1 | submitted | on time | D
King, Sariah | Quiz 1 | submitted | on time | B
King, Sariah | Final Project | submitted | on time | D
Dillon, Skylar | Homework 1 | not submitted | * | *
Dillon, Skylar | Homework 2 | submitted | on time | D
Dillon, Skylar | Project 1 | submitted | late | A
Dillon, Skylar | Quiz 1 | submitted | on time | B
Dillon, Skylar | Final Project | submitted | late | D
Carson, Amelia | Homework 1 | submitted | late | A
Carson, Amelia | Homework 2 | submitted | on time | D
Carson, Amelia | Project 1 | submitted | late | C
Carson, Amelia | Quiz 1 | submitted | on time | D
Carson, Amelia | Final Project | submitted | on time | C
Elliott, Bria | Homework 1 | submitted | on time | D
Elliott, Bria | Homework 2 | submitted | late | B
Elliott, Bria | Project 1 | submitted | late | B
Elliott, Bria | Quiz 1 | submitted | on time | C
Elliott, Bria | Final Project | not submitted | * | *
Upton, Sawyer | Homework 1 | submitted | on time | A
Upton, Sawyer | Homework 2 | submitted | late | C
Upton, Sawyer | Project 1 | submitted | on time | A
Upton, Sawyer | Quiz 1 | not submitted | * | *
Upton, Sawyer | Final Project | submitted | on time | B
Gibson, Alana | Homework 1 | not submitted | * | *
